episode,char1,char2,count
M._Night_Shaym-Aliens!.txt,beth,rick,1
M._Night_Shaym-Aliens!.txt,morty,rick,10
M._Night_Shaym-Aliens!.txt,jessica,morty,1
M._Night_Shaym-Aliens!.txt,jessica,mr. goldenfold,1
M._Night_Shaym-Aliens!.txt,jessica,rick,1
M._Night_Shaym-Aliens!.txt,jessica,student,1
M._Night_Shaym-Aliens!.txt,morty,mr. goldenfold,1
M._Night_Shaym-Aliens!.txt,morty,student,1
M._Night_Shaym-Aliens!.txt,mr. goldenfold,rick,1
M._Night_Shaym-Aliens!.txt,mr. goldenfold,student,1
M._Night_Shaym-Aliens!.txt,rick,student,1
M._Night_Shaym-Aliens!.txt,jerry,kevin,2
M._Night_Shaym-Aliens!.txt,jerry,prince nebulon,2
M._Night_Shaym-Aliens!.txt,jerry,stu,1
M._Night_Shaym-Aliens!.txt,jerry,zigerion 1,2
M._Night_Shaym-Aliens!.txt,jerry,zigerion 2,1
M._Night_Shaym-Aliens!.txt,jerry,zigerion 3,1
M._Night_Shaym-Aliens!.txt,kevin,prince nebulon,2
M._Night_Shaym-Aliens!.txt,kevin,stu,1
M._Night_Shaym-Aliens!.txt,kevin,zigerion 1,2
M._Night_Shaym-Aliens!.txt,kevin,zigerion 2,1
M._Night_Shaym-Aliens!.txt,kevin,zigerion 3,1
M._Night_Shaym-Aliens!.txt,prince nebulon,stu,1
M._Night_Shaym-Aliens!.txt,prince nebulon,zigerion 1,2
M._Night_Shaym-Aliens!.txt,prince nebulon,zigerion 2,1
M._Night_Shaym-Aliens!.txt,prince nebulon,zigerion 3,1
M._Night_Shaym-Aliens!.txt,stu,zigerion 1,1
M._Night_Shaym-Aliens!.txt,stu,zigerion 2,1
M._Night_Shaym-Aliens!.txt,stu,zigerion 3,1
M._Night_Shaym-Aliens!.txt,zigerion 1,zigerion 2,1
M._Night_Shaym-Aliens!.txt,zigerion 1,zigerion 3,1
M._Night_Shaym-Aliens!.txt,zigerion 2,zigerion 3,1
M._Night_Shaym-Aliens!.txt,jerry,radio,1
M._Night_Shaym-Aliens!.txt,morty,paramedic,1
M._Night_Shaym-Aliens!.txt,paramedic,rick,1
M._Night_Shaym-Aliens!.txt,all,jerry,1
M._Night_Shaym-Aliens!.txt,all,mr. marklevitz,1
M._Night_Shaym-Aliens!.txt,jerry,mr. marklevitz,3
M._Night_Shaym-Aliens!.txt,jerry,mailman,2
M._Night_Shaym-Aliens!.txt,jerry,old man,1
M._Night_Shaym-Aliens!.txt,jerry,simulation beth,1
M._Night_Shaym-Aliens!.txt,jerry,woman,1
M._Night_Shaym-Aliens!.txt,mailman,old man,1
M._Night_Shaym-Aliens!.txt,mailman,simulation beth,1
M._Night_Shaym-Aliens!.txt,mailman,woman,1
M._Night_Shaym-Aliens!.txt,old man,simulation beth,1
M._Night_Shaym-Aliens!.txt,old man,woman,1
M._Night_Shaym-Aliens!.txt,simulation beth,woman,1
M._Night_Shaym-Aliens!.txt,prince nebulon,zigerion,1
M._Night_Shaym-Aliens!.txt,cynthia,morty,2
M._Night_Shaym-Aliens!.txt,cynthia,prince nebulon,2
M._Night_Shaym-Aliens!.txt,cynthia,rick,2
M._Night_Shaym-Aliens!.txt,morty,prince nebulon,2
M._Night_Shaym-Aliens!.txt,prince nebulon,rick,2
M._Night_Shaym-Aliens!.txt,cynthia,jerry,1
M._Night_Shaym-Aliens!.txt,cynthia,kevin,1
M._Night_Shaym-Aliens!.txt,cynthia,mailman,1
M._Night_Shaym-Aliens!.txt,cynthia,mailmen,1
M._Night_Shaym-Aliens!.txt,cynthia,zigerion 1,1
M._Night_Shaym-Aliens!.txt,jerry,mailmen,1
M._Night_Shaym-Aliens!.txt,jerry,morty,1
M._Night_Shaym-Aliens!.txt,jerry,rick,3
M._Night_Shaym-Aliens!.txt,kevin,mailman,1
